id	nearc2	nearc4	educ	age	fatheduc	motheduc	weight	momdad14	sinmom14	step14	reg661	reg662	reg663	reg664	reg665	reg666	reg667	reg668	reg669	south66	black	smsa	south	smsa66	wage	enroll	married	exper
3	0	0	12	27	8	8	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	481	0	1	9
4	0	0	12	34	14	12	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	721	0	1	16
5	1	1	11	27	11	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	250	0	1	10
6	1	1	12	34	8	7	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	729	0	1	16
7	1	1	12	26	9	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	0	1	8
8	1	1	18	33	14	14	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	565	0	1	9
9	1	1	14	29	14	14	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	608	0	1	9
10	1	1	12	28	12	12	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	425	0	4	10
11	1	1	12	29	12	12	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	515	0	1	11
12	1	1	9	28	11	12	380166	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	225	0	1	13
13	1	1	12	26	11	6	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	400	0	1	8
14	1	1	11	24	11	6	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	417	0	1	7
15	1	1	11	30	11	6	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	217	0	1	13
17	1	1	14	24	15	12	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	300	0	6	4
19	1	1	12	34	12	8	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	346	0	1	16
22	1	1	10	26	8	8	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	575	0	6	10
25	1	1	12	32	8	8	355491	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	649	0	1	14
26	1	1	18	32	12	13	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	944	0	1	8
